FileName,FrameRate,TotalNumFrames,NumFramesWithIndividuals,NumOfIndividuals,MedianGap,WaterQuality,Brightness,Camera,ObservationRatePer1000
/input/seafood/VIDEOS/snapper/2018/2018-06-28_D5_2013B11-in-tank-snapper-footage/videos/GP029602.MP4,59,35600,4343,4591,56.0,clear,bright,gopro,121.99438202247191
/input/seafood/VIDEOS/snapper/2018/2018-06-28_D5_2013B11-in-tank-snapper-footage/videos/GP019602.MP4,59,63720,9017,9662,80.0,clear,bright,gopro,141.5097300690521
/input/seafood/VIDEOS/snapper/2018/2018-06-28_D5_2013B11-in-tank-snapper-footage/videos/GOPR9602.MP4,59,63720,5568,5696,106.0,clear,bright,gopro,87.38229755178907
/input/seafood/VIDEOS/snapper/2018/2018-06-27_D5_2013B11-in-tank-snapper-footage/videos/GP029599.MP4,59,18209,1022,1034,138.0,clear,bright,gopro,56.126091493217636
/input/seafood/VIDEOS/snapper/2018/2018-06-27_D5_2013B11-in-tank-snapper-footage/videos/GP019599.MP4,59,63720,3342,3373,134.0,clear,bright,gopro,52.4482109227872
/input/seafood/VIDEOS/snapper/2018/2018-06-27_D5_2013B11-in-tank-snapper-footage/videos/GOPR9599.MP4,59,63720,591,591,234.0,clear,bright,gopro,9.274952919020715
/workspace/hrrmxb/Jan-Feb/SHD_8f03-1643670176.mp4,15,10881,170,179,49.0,clear,bright,snapit,15.623564010660784
/workspace/hrrmxb/Jan-Feb/SHD_8f03-1643673600.mp4,15,13500,144,156,162.0,clear,bright,snapit,10.666666666666666
/workspace/hrrmxb/Jan-Feb/SHD_8f03-1643675400.mp4,15,13501,94,96,74.0,clear,bright,snapit,6.962447226131397
/workspace/hrrmxb/Jan-Feb/SHD_8f03-1643936400.mp4,15,288,44,56,22.0,clear,bright,snapit,152.7777777777778
/workspace/hrrmxb/Aug/SHD_8f03-1659571200.mp4,15,13501,484,496,74.0,clear,dim,snapit,35.84919635582549
/workspace/hrrmxb/Aug/SHD_8f03-1659572100.mp4,15,13500,964,1032,72.0,clear,dim,snapit,71.4074074074074
/workspace/hrrmxb/Aug/SHD_8f03-1659830400.mp4,15,13500,572,589,110.0,clear,dim,snapit,42.370370370370374
/workspace/hrrmxb/Aug/SHD_8f03-1659831300.mp4,15,13501,559,582,87.0,clear,dim,snapit,41.404340419228205
